id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	associatedOccurrences	associatedReferences	otherCatalogNumbers	occurrenceRemarks	organismID	materialSampleID	eventID	fieldNumber	eventDate	eventTime	year	month	verbatimEventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
329	2019-01-02T15:18:48			SharkBase	SharkBase	HumanObservation	329					1	individuals			present										2013-04-07 23:04:00															25.5	-79.2667	100	0.0009	POINT (-79.26667 25.50000)							urn:lsid:marinespecies.org:taxname:105719		Carcharhinus	Animalia	Chordata		Carcharhinidae	Carcharhinus				genus		
33	2019-01-02T15:18:48			SharkBase	SharkBase	HumanObservation	33					1	individuals			present										2014-06-26 23:06:00															-34.1506	22.1206	100	0.0009	POINT (22.12063 -34.15059)							urn:lsid:marinespecies.org:taxname:105838		Carcharodon carcharias	Animalia	Chordata		Lamnidae	Carcharodon				Species		
333	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	333					1	individuals			present										2014-12-07 00:12:00									Puerto Rico						18.23	-65.62	100	0.0009	POINT (-65.62000 18.23000)							urn:lsid:marinespecies.org:taxname:105719		Carcharhinus	Animalia	Chordata		Carcharhinidae	Carcharhinus				genus		
330	2019-01-02T15:18:48			SharkBase	SharkBase	HumanObservation	330					1	individuals			present										2013-09-12 23:09:00															18.5688	-66.2098	100	0.0009	POINT (-66.20985 18.56883)							urn:lsid:marinespecies.org:taxname:105721		Negaprion	Animalia	Chordata		Carcharhinidae	Negaprion				genus		
331	2019-01-02T15:18:48			SharkBase	SharkBase	HumanObservation	331					1	individuals			present										2014-10-17 00:10:00									Puerto Rico						18.23	-65.62	100	0.0009	POINT (-65.62000 18.23000)							urn:lsid:marinespecies.org:taxname:105721		Negaprion	Animalia	Chordata		Carcharhinidae	Negaprion				genus		
332	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	332					1	individuals			present										2014-11-10 00:11:00															18.2696	-65.6297	100	0.0009	POINT (-65.62974 18.26964)							urn:lsid:marinespecies.org:taxname:105721		Negaprion	Animalia	Chordata		Carcharhinidae	Negaprion				genus		
334	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	334					1	individuals			present										2015-03-07 00:03:00									Puerto Rico						18.23	-65.62	100	0.0009	POINT (-65.62000 18.23000)							urn:lsid:marinespecies.org:taxname:105719		Carcharhinus	Animalia	Chordata		Carcharhinidae	Carcharhinus				genus		
335	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	335					1	individuals			present										2014-07-19 23:07:00															33.6871	-78.8821	100	0.0009	POINT (-78.88214 33.68710)							urn:lsid:marinespecies.org:taxname:105723		Rhizoprionodon	Animalia	Chordata		Carcharhinidae	Rhizoprionodon				genus		
336	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	336					1	individuals			present										2012-05-21 23:05:00															-27.5319	32.7082	100	0.0009	POINT (32.70816 -27.53189)							urn:lsid:marinespecies.org:taxname:298794		Manta alfredi	Animalia	Chordata		Mobulidae	Manta				Species		
672	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	672					1	individuals			present										2014-11-19 00:11:00									Australia	New South Wales					-33.84	151.255	100	0.0009	POINT (151.25478 -33.84003)							urn:lsid:marinespecies.org:taxname:283063		Trygonoptera testacea	Animalia	Chordata		Urolophidae	Trygonoptera				Species		
673	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	673					1	individuals			present										2014-11-20 00:11:00									Australia	New South Wales					-33.84	151.255	100	0.0009	POINT (151.25478 -33.84003)							urn:lsid:marinespecies.org:taxname:283063		Trygonoptera testacea	Animalia	Chordata		Urolophidae	Trygonoptera				Species		
674	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	674					1	individuals			present										2013-10-17 00:10:00															-27.528	32.7005	100	0.0009	POINT (32.70050 -27.52800)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
675	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	675					1	individuals			present										2013-10-14 00:10:00															-27.5197	32.6868	100	0.0009	POINT (32.68680 -27.51970)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
676	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	676					1	individuals			present										2013-10-09 00:10:00															-27.492	32.6932	100	0.0009	POINT (32.69316 -27.49202)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
677	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	677					1	individuals			present										2013-10-02 23:10:00															-27.5259	32.6854	100	0.0009	POINT (32.68540 -27.52590)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
678	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	678					1	individuals			present										2013-09-23 23:09:00															-27.4519	32.7121	100	0.0009	POINT (32.71210 -27.45192)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
679	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	679					1	individuals			present										2013-09-19 23:09:00															-27.5182	32.6879	100	0.0009	POINT (32.68788 -27.51820)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
684	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	684					1	individuals			present										2015-05-23 23:05:00															-18.4606	178.08299	100	0.0009	POINT (178.08343 -18.46060)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
680	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	680					1	individuals			present										2013-09-12 23:09:00															-27.5182	32.6878	100	0.0009	POINT (32.68780 -27.51820)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
681	2019-01-02T15:19:21			SharkBase	SharkBase	HumanObservation	681					1	individuals			present										2013-09-12 23:09:00															-27.489	32.6895	100	0.0009	POINT (32.68950 -27.48900)							urn:lsid:marinespecies.org:taxname:217422		Taeniura lymma	Animalia	Chordata		Dasyatidae	Taeniura				species		
683	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	683					1	individuals			present										2015-05-23 23:05:00															-18.456	178.093	100	0.0009	POINT (178.09253 -18.45604)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
685	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	685					1	individuals			present										2015-05-23 23:05:00															-18.4606	178.084	100	0.0009	POINT (178.08394 -18.46060)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
686	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	686					1	individuals			present										2015-05-23 23:05:00															-18.4608	178.08299	100	0.0009	POINT (178.08343 -18.46076)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
687	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	687					1	individuals			present										2015-05-23 23:05:00															-18.4601	178.08299	100	0.0009	POINT (178.08343 -18.46011)							urn:lsid:marinespecies.org:taxname:1382142		Neotrygon australiae	Animalia	Chordata		Dasyatidae	Neotrygon				species		
688	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	688					1	individuals			present										2014-07-26 23:07:00									Peru						-3.98333	-80.9833	100	0.0009	POINT (-80.98333 -3.98333)							urn:lsid:marinespecies.org:taxname:105847		Rhincodon typus	Animalia	Chordata		Rhincodontidae	Rhincodon				Species	Smith, 1828	Whale Shark
689	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	689					1	individuals			present										2014-08-02 23:08:00									Peru						-3.98333	-80.9833	100	0.0009	POINT (-80.98333 -3.98333)							urn:lsid:marinespecies.org:taxname:105847		Rhincodon typus	Animalia	Chordata		Rhincodontidae	Rhincodon				Species	Smith, 1828	Whale Shark
